nct_id,start_year,disease_area,phase,status,intervention_type,lead_sponsor,enrollment,duration_months,ai_designed,multinational,has_biomarker
NCT2013000500,2016,Diabetes/Metabolic,Phase 3,Recruiting,Drug,Gilead,617,50,False,False,True
NCT2013000501,2017,Neurology,Phase 4,Terminated,Device,GSK,66,21,False,True,True
NCT2013000502,2024,Immunology/Autoimmune,Phase 4,Completed,Behavioral,Bristol-Myers Squibb,202,27,True,True,True
NCT2013000503,2022,Cardiovascular,Phase 1,Recruiting,Drug,Bristol-Myers Squibb,20,16,False,False,False
NCT2013000504,2022,Oncology,Phase 2,Completed,Behavioral,Johnson & Johnson,56,25,True,True,False
NCT2013000505,2017,Neurology,Phase 3,"Active, not recruiting",Drug,Regional Hospital,538,8,False,False,True
NCT2013000506,2019,Oncology,Phase 2,Terminated,Drug,Gilead,137,7,False,False,False
NCT2013000507,2016,Cardiovascular,Phase 3,Recruiting,Device,Eli Lilly,988,15,False,False,False
NCT2013000508,2013,Rare Disease,Phase 4,Completed,Drug,AbbVie,1111,26,False,False,True
NCT2013000509,2017,Cardiovascular,Phase 1,Terminated,Drug,Academic Medical Center,13,16,False,False,True
NCT2013000510,2019,Oncology,Phase 2,Unknown,Drug,AstraZeneca,79,39,False,False,True
NCT2013000511,2022,Immunology/Autoimmune,Phase 1,Recruiting,Other,Gilead,36,12,True,False,True
NCT2013000512,2022,Oncology,Phase 2,Completed,Drug,Academic Medical Center,25,26,False,False,True
NCT2013000513,2018,Cardiovascular,Phase 2,Terminated,Procedure,Biotech Startup,73,17,False,False,True
NCT2013000514,2017,Oncology,Phase 1,Recruiting,Drug,AbbVie,40,31,False,False,True
NCT2013000515,2016,Cardiovascular,Phase 2,"Active, not recruiting",Behavioral,Biotech Startup,138,3,False,False,False
NCT2013000516,2014,Cardiovascular,Phase 3,Recruiting,Drug,Biotech Startup,207,9,False,True,False
NCT2013000517,2016,Neurology,Phase 1,Recruiting,Device,AbbVie,28,17,False,True,True
NCT2013000518,2022,Oncology,Phase 3,Completed,Procedure,Regional Hospital,369,41,False,False,False
NCT2013000519,2022,Oncology,N/A,"Active, not recruiting",Drug,Biotech Startup,87,26,True,False,False
NCT2013000520,2015,Infectious Disease,Phase 4,Completed,Other,Biotech Startup,99,12,False,True,True
NCT2013000521,2022,Neurology,Phase 4,Recruiting,Drug,Johnson & Johnson,104,10,False,False,False
NCT2013000522,2013,Oncology,Phase 1,Unknown,Biological,Novartis,63,9,False,False,True
NCT2013000523,2020,Oncology,Phase 2,Recruiting,Other,Bayer,49,9,True,False,True
NCT2013000524,2017,Oncology,Phase 4,Terminated,Drug,University Hospital,39,17,False,True,False
NCT2013000525,2016,Neurology,N/A,Recruiting,Procedure,Biotech Startup,55,16,False,False,False
NCT2013000526,2020,Oncology,Phase 3,Completed,Biological,Merck,125,16,True,True,False
NCT2013000527,2019,Other,Phase 4,Completed,Drug,Merck,10,15,False,False,False
NCT2013000528,2014,Oncology,Phase 2,Completed,Biological,Amgen,144,18,False,False,False
NCT2013000529,2013,Oncology,Phase 3,Recruiting,Drug,Biotech Startup,130,34,False,True,False
NCT2013000530,2024,Immunology/Autoimmune,Phase 2,"Active, not recruiting",Drug,Boehringer Ingelheim,175,15,False,True,True
NCT2013000531,2023,Oncology,Phase 4,Terminated,Drug,Bayer,10,10,False,False,False
NCT2013000532,2016,Infectious Disease,Phase 2,Completed,Drug,Academic Medical Center,130,18,False,False,False
NCT2013000533,2020,Cardiovascular,Phase 1,Recruiting,Drug,AbbVie,22,21,False,False,True
NCT2013000534,2024,Immunology/Autoimmune,Phase 1,Terminated,Drug,Sanofi,51,20,False,True,True
NCT2013000535,2014,Oncology,N/A,Unknown,Biological,Gilead,67,13,False,True,False
NCT2013000536,2015,Respiratory,Phase 1,Completed,Drug,Bayer,43,16,True,True,True
NCT2013000537,2024,Oncology,Phase 1,Recruiting,Behavioral,Johnson & Johnson,22,30,True,False,False
NCT2013000538,2013,Neurology,Phase 2,Completed,Other,Eli Lilly,124,38,False,False,True
NCT2013000539,2013,Immunology/Autoimmune,Phase 2,Completed,Drug,Bayer,35,58,False,False,True
NCT2013000540,2015,Oncology,Phase 3,Completed,Drug,Regional Hospital,1288,13,False,False,False
NCT2013000541,2023,Oncology,Phase 2,Unknown,Procedure,Biotech Startup,104,17,False,False,False
NCT2013000542,2017,Neurology,Phase 1,Completed,Drug,Eli Lilly,25,21,False,False,True
NCT2013000543,2024,Infectious Disease,Phase 2,Recruiting,Device,Bristol-Myers Squibb,110,10,False,False,False
NCT2013000544,2015,Oncology,Phase 3,Completed,Procedure,Gilead,119,32,False,False,False
NCT2013000545,2013,Oncology,Phase 3,Completed,Drug,Regional Hospital,127,28,False,False,False
NCT2013000546,2013,Rare Disease,Phase 2,Terminated,Drug,Gilead,94,10,False,False,True
NCT2013000547,2020,Neurology,Phase 2,Completed,Drug,Bristol-Myers Squibb,76,32,False,True,False
NCT2013000548,2022,Diabetes/Metabolic,Phase 3,Terminated,Biological,Gilead,387,10,True,False,True
NCT2013000549,2023,Diabetes/Metabolic,Phase 3,Terminated,Drug,Sanofi,475,19,False,False,True
NCT2013000550,2024,Immunology/Autoimmune,N/A,Recruiting,Drug,Bristol-Myers Squibb,107,26,False,False,True
NCT2013000551,2024,Oncology,Phase 2,Terminated,Drug,Merck,190,33,False,False,False
NCT2013000552,2014,Neurology,Phase 2,Withdrawn,Device,Johnson & Johnson,68,22,False,True,True
NCT2013000553,2015,Rare Disease,Phase 3,Recruiting,Drug,Bayer,225,28,False,False,False
NCT2013000554,2014,Infectious Disease,Phase 2,Completed,Device,Biotech Startup,123,15,False,False,True
NCT2013000555,2015,Cardiovascular,Phase 2,Recruiting,Device,GSK,60,13,False,True,False
NCT2013000556,2019,Diabetes/Metabolic,Phase 1,Unknown,Procedure,Biotech Startup,67,54,False,True,True
NCT2013000557,2013,Neurology,Phase 4,Completed,Biological,Bristol-Myers Squibb,126,19,False,False,False
NCT2013000558,2022,Rare Disease,Phase 3,Completed,Biological,Merck,1123,17,True,False,False
NCT2013000559,2020,Rare Disease,Phase 1,Completed,Procedure,Bristol-Myers Squibb,41,23,False,True,True
NCT2013000560,2022,Oncology,Phase 3,"Active, not recruiting",Drug,NIH,110,16,True,True,True
NCT2013000561,2022,Mental Health,Phase 2,"Active, not recruiting",Drug,Sanofi,34,11,False,True,True
NCT2013000562,2022,Oncology,Phase 3,Completed,Biological,Johnson & Johnson,1135,53,False,False,True
NCT2013000563,2014,Oncology,N/A,Completed,Drug,AstraZeneca,242,29,False,True,False
NCT2013000564,2015,Neurology,Phase 2,Completed,Procedure,Pfizer,47,23,False,False,True
NCT2013000565,2021,Cardiovascular,Phase 3,Completed,Other,Pfizer,87,22,False,False,False
NCT2013000566,2019,Diabetes/Metabolic,Phase 1,Completed,Drug,Johnson & Johnson,13,82,False,True,False
NCT2013000567,2016,Oncology,Phase 1,Completed,Drug,Gilead,8,23,False,False,True
NCT2013000568,2022,Oncology,Phase 3,Recruiting,Drug,AbbVie,3838,6,False,True,True
NCT2013000569,2017,Respiratory,Phase 2,Withdrawn,Other,AstraZeneca,37,21,False,False,False
NCT2013000570,2014,Cardiovascular,Phase 2,Recruiting,Biological,AstraZeneca,85,36,False,False,False
NCT2013000571,2023,Oncology,Phase 1,Recruiting,Drug,Boehringer Ingelheim,18,22,True,False,True
NCT2013000572,2020,Cardiovascular,N/A,Completed,Other,Merck,929,27,False,False,True
NCT2013000573,2016,Oncology,Phase 3,Completed,Procedure,Gilead,98,23,False,True,False
NCT2013000574,2021,Oncology,Phase 2,"Active, not recruiting",Other,AstraZeneca,27,11,False,False,False
NCT2013000575,2017,Infectious Disease,Phase 1,Completed,Drug,Novartis,31,38,False,True,False
NCT2013000576,2021,Cardiovascular,Phase 2,Completed,Drug,Gilead,47,5,False,True,False
NCT2013000577,2016,Oncology,Phase 1,Completed,Drug,Amgen,30,22,False,True,False
NCT2013000578,2022,Oncology,Phase 2,"Active, not recruiting",Drug,Bayer,126,48,False,True,False
NCT2013000579,2017,Oncology,Phase 4,Recruiting,Drug,Biotech Startup,36,15,False,False,True
NCT2013000580,2021,Cardiovascular,Phase 3,Terminated,Drug,Regional Hospital,1045,44,False,False,False
NCT2013000581,2020,Oncology,Phase 3,Recruiting,Drug,Sanofi,82,14,False,False,False
NCT2013000582,2015,Cardiovascular,Phase 2,Completed,Biological,Regional Hospital,82,21,False,True,False
NCT2013000583,2013,Immunology/Autoimmune,Phase 1,Completed,Drug,Boehringer Ingelheim,44,54,False,False,True
NCT2013000584,2015,Immunology/Autoimmune,Phase 2,Completed,Drug,NIH,107,12,False,False,False
NCT2013000585,2016,Infectious Disease,Phase 2,Recruiting,Biological,Amgen,50,38,False,True,True
NCT2013000586,2014,Diabetes/Metabolic,Phase 1,Terminated,Drug,Sanofi,69,20,False,True,True
NCT2013000587,2013,Diabetes/Metabolic,Phase 2,Unknown,Drug,Gilead,147,15,False,False,False
NCT2013000588,2019,Immunology/Autoimmune,Phase 1,"Active, not recruiting",Biological,Roche,231,31,False,False,False
NCT2013000589,2020,Infectious Disease,Phase 4,Completed,Device,Pfizer,133,16,False,False,False
NCT2013000590,2019,Cardiovascular,Phase 4,Completed,Drug,Bayer,408,36,False,False,False
NCT2013000591,2017,Rare Disease,Phase 2,Completed,Other,Johnson & Johnson,127,29,True,False,True
NCT2013000592,2024,Rare Disease,Phase 3,Completed,Biological,AstraZeneca,515,10,False,True,True
NCT2013000593,2013,Neurology,Phase 2,Completed,Device,Biotech Startup,32,15,False,False,False
NCT2013000594,2019,Diabetes/Metabolic,Phase 1,Unknown,Drug,Biotech Startup,35,53,False,False,False
NCT2013000595,2019,Infectious Disease,Phase 2,Completed,Drug,GSK,83,17,False,False,True
NCT2013000596,2021,Oncology,Phase 1,Completed,Biological,Novartis,36,53,False,True,False
NCT2013000597,2015,Diabetes/Metabolic,Phase 3,Recruiting,Biological,Pfizer,782,32,False,False,False
NCT2013000598,2021,Diabetes/Metabolic,Phase 2,Unknown,Drug,University Hospital,164,10,False,False,False
NCT2013000599,2013,Mental Health,Phase 2,Completed,Drug,Biotech Startup,264,25,False,False,False
NCT2013000600,2013,Cardiovascular,Phase 1,Completed,Behavioral,Novartis,52,30,False,True,False
NCT2013000601,2016,Diabetes/Metabolic,N/A,Completed,Drug,Biotech Startup,64,47,False,False,True
NCT2013000602,2021,Respiratory,Phase 1,Recruiting,Behavioral,Pfizer,34,15,False,True,False
NCT2013000603,2018,Other,Phase 1,Recruiting,Procedure,Pfizer,30,29,False,False,True
NCT2013000604,2023,Infectious Disease,Phase 1,Recruiting,Drug,Pfizer,50,18,False,True,False
NCT2013000605,2015,Oncology,Phase 4,"Active, not recruiting",Drug,AbbVie,277,11,False,False,False
NCT2013000606,2013,Diabetes/Metabolic,Phase 1,Completed,Biological,Roche,19,34,False,True,False
NCT2013000607,2016,Oncology,Phase 1,Recruiting,Device,Gilead,43,10,False,True,True
NCT2013000608,2024,Diabetes/Metabolic,Phase 1,Completed,Drug,Bristol-Myers Squibb,33,49,True,True,False
NCT2013000609,2021,Oncology,Phase 4,Unknown,Drug,Biotech Startup,8,35,False,True,False
NCT2013000610,2015,Oncology,Phase 1,Recruiting,Biological,AbbVie,73,60,True,False,True
NCT2013000611,2024,Oncology,Phase 1,"Active, not recruiting",Behavioral,Merck,21,16,True,True,True
NCT2013000612,2021,Neurology,Phase 1,Completed,Other,Biotech Startup,13,16,False,False,True
NCT2013000613,2019,Immunology/Autoimmune,Phase 2,Unknown,Drug,Boehringer Ingelheim,69,47,True,True,True
NCT2013000614,2024,Diabetes/Metabolic,Phase 1,Recruiting,Behavioral,Boehringer Ingelheim,126,12,False,True,False
NCT2013000615,2016,Neurology,Phase 3,Completed,Drug,Bristol-Myers Squibb,990,24,False,False,True
NCT2013000616,2015,Oncology,Phase 2,Completed,Drug,Novartis,25,9,False,True,False
NCT2013000617,2022,Oncology,Phase 2,Terminated,Drug,Biotech Startup,37,10,False,False,False
NCT2013000618,2017,Oncology,Phase 3,Completed,Drug,Bayer,1427,10,False,True,False
NCT2013000619,2017,Cardiovascular,Phase 1,Completed,Drug,NIH,12,12,False,False,False
NCT2013000620,2015,Rare Disease,Phase 3,Recruiting,Drug,Merck,103,19,False,True,False
NCT2013000621,2024,Neurology,Phase 1,Unknown,Drug,Bayer,25,38,True,True,True
NCT2013000622,2021,Diabetes/Metabolic,Phase 3,Completed,Drug,Biotech Startup,1658,11,False,False,False
NCT2013000623,2016,Respiratory,Phase 3,Recruiting,Drug,Merck,552,16,False,False,False
NCT2013000624,2023,Infectious Disease,Phase 2,Unknown,Drug,Eli Lilly,18,16,True,False,False
NCT2013000625,2017,Oncology,N/A,Unknown,Biological,Gilead,172,14,False,True,True
NCT2013000626,2016,Neurology,Phase 4,Recruiting,Drug,Merck,68,16,True,False,False
NCT2013000627,2017,Rare Disease,N/A,Recruiting,Drug,Biotech Startup,52,24,False,False,False
NCT2013000628,2019,Oncology,Phase 1,Recruiting,Device,NIH,49,12,False,False,False
NCT2013000629,2021,Cardiovascular,Phase 3,Completed,Drug,Johnson & Johnson,220,12,False,False,True
NCT2013000630,2019,Rare Disease,Phase 3,Recruiting,Drug,University Hospital,246,23,False,False,True
NCT2013000631,2017,Oncology,Phase 3,"Active, not recruiting",Device,GSK,2119,13,False,False,False
NCT2013000632,2022,Cardiovascular,Phase 2,Completed,Drug,Academic Medical Center,119,25,False,False,False
NCT2013000633,2022,Oncology,Phase 2,Terminated,Drug,Merck,36,28,False,True,False
NCT2013000634,2019,Oncology,N/A,"Active, not recruiting",Drug,Regional Hospital,96,49,False,True,True
NCT2013000635,2022,Cardiovascular,N/A,Completed,Drug,GSK,392,27,False,False,True
NCT2013000636,2017,Cardiovascular,N/A,Recruiting,Biological,Sanofi,146,16,False,False,False
NCT2013000637,2015,Infectious Disease,Phase 3,Completed,Drug,Bristol-Myers Squibb,664,9,False,True,True
NCT2013000638,2019,Diabetes/Metabolic,Phase 3,Completed,Procedure,Regional Hospital,553,21,False,False,False
NCT2013000639,2023,Infectious Disease,Phase 2,Terminated,Other,Eli Lilly,75,10,True,False,False
NCT2013000640,2023,Respiratory,Phase 1,Recruiting,Drug,Biotech Startup,91,19,False,False,True
NCT2013000641,2014,Neurology,Phase 3,Completed,Biological,Roche,236,15,False,True,True
NCT2013000642,2024,Infectious Disease,Phase 1,Withdrawn,Drug,Gilead,51,14,True,False,False
NCT2013000643,2021,Diabetes/Metabolic,Phase 2,"Active, not recruiting",Drug,Biotech Startup,57,16,True,True,False
NCT2013000644,2022,Immunology/Autoimmune,Phase 2,Completed,Other,NIH,105,8,False,False,True
NCT2013000645,2022,Neurology,Phase 2,Completed,Drug,Novartis,77,12,False,False,True
NCT2013000646,2024,Cardiovascular,Phase 3,"Active, not recruiting",Drug,Johnson & Johnson,383,40,False,True,True
NCT2013000647,2013,Mental Health,Phase 1,Recruiting,Drug,Regional Hospital,25,14,False,True,True
NCT2013000648,2018,Cardiovascular,Phase 2,Recruiting,Drug,AstraZeneca,200,11,False,False,True
NCT2013000649,2019,Oncology,Phase 3,Completed,Drug,AstraZeneca,256,16,False,True,False
NCT2013000650,2020,Cardiovascular,Phase 2,Completed,Device,Regional Hospital,667,23,False,True,False
NCT2013000651,2022,Oncology,Phase 2,Recruiting,Biological,Johnson & Johnson,21,29,False,False,False
NCT2013000652,2021,Respiratory,Phase 1,"Active, not recruiting",Drug,AbbVie,98,24,False,True,True
NCT2013000653,2014,Infectious Disease,Phase 2,Unknown,Device,Biotech Startup,41,27,False,True,False
NCT2013000654,2023,Other,Phase 2,"Active, not recruiting",Device,Novartis,67,27,False,False,True
NCT2013000655,2022,Diabetes/Metabolic,Phase 3,Completed,Drug,Novartis,1146,9,False,False,False
NCT2013000656,2014,Oncology,Phase 2,Completed,Other,Regional Hospital,24,9,False,False,False
NCT2013000657,2017,Diabetes/Metabolic,Phase 2,Completed,Drug,University Hospital,127,20,False,False,False
NCT2013000658,2017,Oncology,Phase 1,"Active, not recruiting",Drug,Pfizer,44,26,False,True,True
NCT2013000659,2018,Oncology,Phase 2,Completed,Biological,Eli Lilly,9,36,False,False,False
NCT2013000660,2015,Diabetes/Metabolic,Phase 4,Completed,Drug,Novartis,49,19,False,True,False
NCT2013000661,2020,Infectious Disease,Phase 4,Terminated,Drug,NIH,782,17,False,False,False
NCT2013000662,2013,Infectious Disease,Phase 2,Completed,Drug,Biotech Startup,135,26,False,False,True
NCT2013000663,2018,Oncology,Phase 2,Terminated,Biological,AstraZeneca,186,25,False,True,False
NCT2013000664,2016,Oncology,Phase 1,Completed,Drug,Bayer,41,16,False,False,False
NCT2013000665,2013,Respiratory,Phase 2,Recruiting,Drug,AstraZeneca,21,10,False,False,False
NCT2013000666,2019,Immunology/Autoimmune,Phase 2,Completed,Drug,Biotech Startup,127,12,False,False,True
NCT2013000667,2021,Diabetes/Metabolic,Phase 2,Recruiting,Drug,Regional Hospital,171,28,False,False,False
NCT2013000668,2016,Oncology,Phase 2,Completed,Drug,Bayer,18,51,False,False,False
NCT2013000669,2016,Oncology,Phase 2,Terminated,Biological,University Hospital,41,18,False,False,True
NCT2013000670,2018,Other,Phase 1,Completed,Drug,AstraZeneca,21,16,False,True,False
NCT2013000671,2024,Oncology,N/A,"Active, not recruiting",Drug,Merck,108,9,False,False,True
NCT2013000672,2015,Immunology/Autoimmune,Phase 1,Completed,Device,Gilead,48,49,False,False,False
NCT2013000673,2024,Cardiovascular,N/A,Withdrawn,Drug,Biotech Startup,216,12,False,True,False
NCT2013000674,2018,Neurology,N/A,Completed,Drug,Johnson & Johnson,98,9,False,False,True
NCT2013000675,2019,Diabetes/Metabolic,Phase 4,"Active, not recruiting",Other,Pfizer,90,22,False,False,False
NCT2013000676,2023,Neurology,Phase 3,Completed,Drug,NIH,325,21,True,False,False
NCT2013000677,2022,Cardiovascular,Phase 1,Recruiting,Drug,Merck,15,22,False,True,False
NCT2013000678,2022,Cardiovascular,Phase 1,Completed,Biological,AbbVie,52,21,False,True,True
NCT2013000679,2015,Immunology/Autoimmune,N/A,Recruiting,Drug,AstraZeneca,136,29,False,False,True
NCT2013000680,2019,Infectious Disease,Phase 2,Unknown,Drug,Boehringer Ingelheim,145,34,False,False,True
NCT2013000681,2015,Rare Disease,Phase 1,Recruiting,Biological,NIH,31,33,False,False,False
NCT2013000682,2014,Oncology,Phase 3,Unknown,Drug,Amgen,133,9,False,False,False
NCT2013000683,2024,Immunology/Autoimmune,Phase 1,Completed,Procedure,Gilead,76,25,False,False,False
NCT2013000684,2022,Oncology,Phase 4,Recruiting,Drug,Merck,131,31,False,False,True
NCT2013000685,2016,Oncology,Phase 3,Completed,Device,Biotech Startup,273,12,False,False,False
NCT2013000686,2024,Diabetes/Metabolic,Phase 4,Terminated,Drug,Sanofi,160,44,False,False,False
NCT2013000687,2020,Diabetes/Metabolic,Phase 2,Recruiting,Device,Regional Hospital,110,6,False,False,True
NCT2013000688,2021,Rare Disease,Phase 3,Recruiting,Procedure,Biotech Startup,723,10,True,True,False
NCT2013000689,2019,Immunology/Autoimmune,N/A,Completed,Biological,Merck,150,10,False,True,False
NCT2013000690,2013,Respiratory,Phase 3,Terminated,Drug,Amgen,110,14,False,False,False
NCT2013000691,2015,Neurology,Phase 1,Recruiting,Drug,AbbVie,38,8,False,True,True
NCT2013000692,2024,Neurology,Phase 1,Recruiting,Drug,AstraZeneca,11,36,False,False,True
NCT2013000693,2021,Infectious Disease,Phase 1,"Active, not recruiting",Drug,Merck,197,18,False,False,True
NCT2013000694,2024,Diabetes/Metabolic,Phase 2,Recruiting,Drug,Pfizer,49,16,False,True,False
NCT2013000695,2013,Oncology,Phase 2,Completed,Drug,Sanofi,26,29,False,True,True
NCT2013000696,2021,Infectious Disease,Phase 2,Recruiting,Biological,Biotech Startup,122,21,False,True,True
NCT2013000697,2020,Neurology,Phase 1,Completed,Device,NIH,91,20,False,False,False
NCT2013000698,2013,Diabetes/Metabolic,Phase 4,Unknown,Drug,Bristol-Myers Squibb,162,36,False,True,True
NCT2013000699,2018,Oncology,Phase 4,Completed,Drug,AstraZeneca,76,43,False,True,False
NCT2013000700,2017,Oncology,Phase 2,Completed,Biological,Boehringer Ingelheim,87,22,False,False,True
NCT2013000701,2018,Oncology,Phase 2,Completed,Drug,Amgen,39,20,False,True,True
NCT2013000702,2022,Cardiovascular,N/A,Completed,Drug,Pfizer,98,26,False,False,False
NCT2013000703,2024,Oncology,Phase 1,Recruiting,Drug,Merck,46,27,False,False,True
NCT2013000704,2017,Cardiovascular,N/A,Completed,Behavioral,Bristol-Myers Squibb,309,13,False,False,False
NCT2013000705,2018,Diabetes/Metabolic,Phase 2,Unknown,Drug,Roche,67,22,False,False,True
NCT2013000706,2017,Neurology,Phase 1,Terminated,Drug,GSK,17,20,False,False,False
NCT2013000707,2023,Cardiovascular,Phase 2,Terminated,Drug,Gilead,75,17,False,False,True
NCT2013000708,2024,Other,Phase 2,Completed,Drug,Regional Hospital,57,17,False,False,True
NCT2013000709,2017,Cardiovascular,Phase 2,"Active, not recruiting",Drug,Biotech Startup,50,10,True,False,False
NCT2013000710,2016,Immunology/Autoimmune,Phase 4,Completed,Behavioral,Pfizer,163,14,False,False,False
NCT2013000711,2015,Diabetes/Metabolic,Phase 2,Recruiting,Drug,Johnson & Johnson,64,19,False,False,False
NCT2013000712,2015,Infectious Disease,Phase 2,Completed,Biological,Sanofi,111,22,False,False,True
NCT2013000713,2016,Oncology,Phase 4,Unknown,Drug,Novartis,219,13,False,False,True
NCT2013000714,2021,Cardiovascular,Phase 2,Terminated,Biological,AbbVie,63,19,False,True,True
NCT2013000715,2014,Oncology,Phase 1,Completed,Biological,Novartis,28,20,False,False,False
NCT2013000716,2021,Infectious Disease,Phase 3,"Active, not recruiting",Biological,Boehringer Ingelheim,648,40,False,False,False
NCT2013000717,2013,Immunology/Autoimmune,Phase 4,Recruiting,Biological,Bayer,1399,5,False,False,False
NCT2013000718,2013,Oncology,Phase 1,Completed,Other,Eli Lilly,87,45,False,True,False
NCT2013000719,2017,Rare Disease,Phase 2,Recruiting,Drug,GSK,55,22,False,False,False
NCT2013000720,2018,Mental Health,Phase 2,Completed,Biological,Merck,115,25,False,True,False
NCT2013000721,2018,Immunology/Autoimmune,Phase 2,"Active, not recruiting",Behavioral,Merck,196,10,False,False,True
NCT2013000722,2015,Diabetes/Metabolic,Phase 2,Recruiting,Drug,Roche,179,47,False,True,True
NCT2013000723,2019,Diabetes/Metabolic,Phase 2,"Active, not recruiting",Drug,University Hospital,23,27,False,False,False
NCT2013000724,2021,Mental Health,Phase 1,Terminated,Biological,Merck,18,42,False,True,False
NCT2013000725,2023,Other,Phase 2,Completed,Procedure,Biotech Startup,37,20,False,False,False
NCT2013000726,2024,Infectious Disease,Phase 3,Recruiting,Biological,Merck,144,12,False,True,True
NCT2013000727,2022,Rare Disease,Phase 1,Recruiting,Drug,Bayer,15,31,False,False,True
NCT2013000728,2020,Diabetes/Metabolic,N/A,Completed,Behavioral,GSK,22,12,False,True,False
NCT2013000729,2018,Cardiovascular,Phase 3,Withdrawn,Drug,GSK,278,16,True,False,False
NCT2013000730,2024,Infectious Disease,N/A,Completed,Drug,Boehringer Ingelheim,564,20,False,False,True
NCT2013000731,2020,Cardiovascular,Phase 1,Recruiting,Drug,Merck,42,26,False,True,True
NCT2013000732,2024,Neurology,Phase 4,Completed,Device,NIH,92,43,False,False,True
NCT2013000733,2017,Respiratory,Phase 2,Completed,Drug,Eli Lilly,21,16,False,True,False
NCT2013000734,2020,Diabetes/Metabolic,Phase 2,Recruiting,Behavioral,Merck,88,13,True,False,True
NCT2013000735,2022,Diabetes/Metabolic,Phase 2,Completed,Drug,Roche,57,34,False,True,False
NCT2013000736,2024,Neurology,N/A,Completed,Drug,Amgen,1821,47,False,False,False
NCT2013000737,2016,Rare Disease,Phase 4,Recruiting,Other,Sanofi,1197,16,False,False,False
NCT2013000738,2022,Oncology,Phase 1,Terminated,Biological,Gilead,36,46,False,False,False
NCT2013000739,2020,Cardiovascular,Phase 2,Completed,Drug,Sanofi,304,20,False,False,False
NCT2013000740,2022,Oncology,Phase 1,Unknown,Biological,Gilead,15,19,False,False,False
NCT2013000741,2024,Immunology/Autoimmune,Phase 3,Terminated,Drug,Merck,557,18,False,True,False
NCT2013000742,2014,Oncology,Phase 1,Completed,Device,Boehringer Ingelheim,29,16,True,False,True
NCT2013000743,2024,Diabetes/Metabolic,Phase 1,"Active, not recruiting",Drug,Biotech Startup,67,33,False,False,True
NCT2013000744,2024,Oncology,N/A,"Active, not recruiting",Other,Gilead,229,24,False,False,False
NCT2013000745,2017,Oncology,Phase 2,Recruiting,Biological,NIH,152,19,False,False,False
NCT2013000746,2021,Cardiovascular,Phase 1,Recruiting,Procedure,Academic Medical Center,27,19,True,True,False
NCT2013000747,2016,Rare Disease,Phase 2,Recruiting,Procedure,Eli Lilly,125,17,False,False,True
NCT2013000748,2023,Cardiovascular,Phase 4,Completed,Drug,GSK,801,17,False,True,False
NCT2013000749,2018,Rare Disease,Phase 3,Recruiting,Drug,AstraZeneca,381,51,False,True,False
NCT2013000750,2013,Cardiovascular,Phase 1,Completed,Drug,University Hospital,61,13,False,False,False
NCT2013000751,2021,Oncology,Phase 3,Completed,Drug,Roche,1012,25,False,True,False
NCT2013000752,2013,Cardiovascular,Phase 3,Completed,Biological,Pfizer,1303,13,False,False,False
NCT2013000753,2017,Immunology/Autoimmune,Phase 3,Recruiting,Drug,Bayer,707,41,False,False,False
NCT2013000754,2016,Neurology,N/A,Terminated,Drug,AbbVie,113,15,False,True,False
NCT2013000755,2024,Cardiovascular,Phase 1,"Active, not recruiting",Drug,Boehringer Ingelheim,15,13,True,False,True
NCT2013000756,2015,Rare Disease,Phase 3,"Active, not recruiting",Drug,AstraZeneca,200,28,False,False,True
NCT2013000757,2018,Respiratory,Phase 2,Recruiting,Device,Eli Lilly,136,32,False,False,False
NCT2013000758,2014,Infectious Disease,Phase 2,Terminated,Device,Novartis,360,16,False,False,False
NCT2013000759,2015,Oncology,Phase 3,Completed,Device,Academic Medical Center,793,16,False,False,False
NCT2013000760,2017,Oncology,Phase 2,Completed,Drug,Bayer,73,36,False,False,False
NCT2013000761,2021,Cardiovascular,Phase 3,Unknown,Drug,Pfizer,775,11,False,False,True
NCT2013000762,2014,Infectious Disease,Phase 2,Unknown,Other,Johnson & Johnson,74,8,False,False,True
NCT2013000763,2022,Oncology,Phase 1,"Active, not recruiting",Drug,Boehringer Ingelheim,19,4,False,True,True
NCT2013000764,2020,Neurology,Phase 1,Completed,Biological,University Hospital,14,21,True,False,True
NCT2013000765,2014,Neurology,Phase 2,Unknown,Biological,Boehringer Ingelheim,103,8,False,False,False
NCT2013000766,2023,Immunology/Autoimmune,Phase 2,Terminated,Drug,AbbVie,76,36,False,True,True
NCT2013000767,2017,Oncology,Phase 3,Completed,Drug,GSK,209,26,True,False,False
NCT2013000768,2019,Infectious Disease,Phase 2,Completed,Drug,Regional Hospital,61,7,False,False,False
NCT2013000769,2020,Oncology,Phase 3,"Active, not recruiting",Drug,NIH,1131,11,False,False,False
NCT2013000770,2013,Diabetes/Metabolic,Phase 2,Unknown,Drug,Biotech Startup,61,6,False,False,False
NCT2013000771,2018,Respiratory,Phase 1,Unknown,Biological,Pfizer,54,9,False,True,True
NCT2013000772,2013,Oncology,Phase 2,"Active, not recruiting",Drug,GSK,82,16,False,False,True
NCT2013000773,2014,Rare Disease,Phase 2,Completed,Drug,Novartis,118,45,False,True,True
NCT2013000774,2013,Diabetes/Metabolic,Phase 2,"Active, not recruiting",Drug,GSK,51,20,False,False,True
